Iteration	Posterior	Likelihood	Prior	ephemerality[1]	ephemerality[2]	ephemerality[3]	ephemerality[4]	ephemerality_observed[1]	ephemerality_observed[2]	evolvability[1]	evolvability[2]	evolvability[3]	evolvability[4]	evolvability_observed[1]	evolvability_observed[2]	global_ephemerality	global_evolvability	global_net_pop_formation	global_pop_turnover	global_speciation_success	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_turnover[1]	pop_turnover[2]	pop_turnover[3]	pop_turnover[4]	pop_turnover_observed[1]	pop_turnover_observed[2]	speciation_success[1]	speciation_success[2]	speciation_success[3]	speciation_success[4]	speciation_success_observed[1]	speciation_success_observed[2]
34	-622.5274	-525.3796	-97.14775	0.603411	2.47611	1.87763	7.70487	1.55104	6.36471	1.93477	1.05657	7.88556	6.22461	9.57527	7.13708	2.494243	16.71235	12.52599	0.7653264	0.3068372	0.673579	0.673579	5.58942	5.58942	6.26299	6.26299	0.920642	0.920642	0.692894	0.692894	0.765326	0.765326	1.52573	0.37181	0.369027	0.0899294	0.493429	0.120245
35	-621.1803	-529.7442	-91.43612	1.21748	1.74996	3.20128	4.60141	2.78816	4.0076	1.54877	1.09147	7.16505	6.49462	8.33642	7.511	3.288472	15.84742	12.52599	0.7653264	0.2327301	0.673579	0.673579	5.58942	5.58942	6.26299	6.26299	0.920642	0.920642	0.692894	0.692894	0.765326	0.765326	0.756186	0.526092	0.216443	0.150583	0.274491	0.190969
36	-616.1293	-526.8526	-89.27665	1.53612	2.20796	4.06956	5.84944	3.48494	5.00913	1.47254	1.04437	6.33266	5.76365	7.36818	6.68041	4.110285	14.0486	11.4217	0.7587831	0.184606	0.656802	0.656802	5.05405	5.05405	5.71085	5.71085	0.912771	0.912771	0.68697	0.68697	0.758783	0.758783	0.594207	0.4134	0.168807	0.117442	0.217732	0.15148
37	-604.1646	-521.0668	-83.0978	1.72015	3.68793	5.54833	8.38083	4.65508	7.31559	1.23938	1.08652	5.88025	5.80172	6.66208	6.78408	5.75443	13.44615	11.4217	0.7587831	0.1318607	0.514168	0.799436	4.82386	5.28424	5.33803	6.08367	0.931714	0.893827	0.701227	0.672713	0.77453	0.743036	0.541646	0.242365	0.126385	0.0802681	0.166384	0.101569
38	-611.8359	-525.0395	-86.79649	0.917168	0.917168	7.00795	7.00795	5.75443	5.75443	0.906028	0.552639	6.4513	6.09791	6.89977	6.54638	5.75443	13.44615	11.4217	0.7587831	0.1318607	0.223183	0.223183	5.48767	5.48767	5.71085	5.71085	0.970359	0.970359	0.660113	0.660113	0.758783	0.758783	1.05799	1.05799	0.0941949	0.0941949	0.131861	0.131861
39	-612.4393	-525.485	-86.95439	0.873084	0.873084	13.3205	13.3205	7.98258	7.98258	0.963083	0.609694	6.18405	5.83066	6.68958	6.33619	7.98258	13.02577	11.4217	0.7587831	0.09505488	0.244942	0.244942	5.46591	5.46591	5.71085	5.71085	0.967469	0.967469	0.661461	0.661461	0.758783	0.758783	1.10811	1.10811	0.0496573	0.0496573	0.0950549	0.0950549
40	-616.6848	-526.6422	-90.04264	0.793177	-0.46101	11.7668	8.0172	7.18446	4.51317	1.04795	0.331295	6.9477	5.69873	7.53809	5.92586	5.687216	13.46395	11.4217	0.7587831	0.1334191	0.271227	-0.19397	6.17098	5.17347	6.44221	4.9795	0.965058	1.02658	0.629244	0.66936	0.736046	0.78297	1.2167	-2.22681	0.0534763	0.0834905	0.10245	0.173486
41	-607.7956	-523.4022	-84.39332	1.06813	-0.81258	15.8457	14.1312	9.6749	7.95495	0.963	0.144414	6.86275	5.51185	7.3682	5.5521	8.841489	12.9203	11.4217	0.7587831	0.08582074	0.271227	-0.19397	6.17098	5.17347	6.44221	4.9795	0.965058	1.02658	0.629244	0.66936	0.736046	0.78297	0.903505	-1.26336	0.0397108	0.0473676	0.0760779	0.0984255
42	-616.3561	-528.544	-87.81204	1.34153	0.251359	9.74168	8.60401	6.07474	4.9948	1.35712	0.574643	6.67002	5.35522	7.61412	5.83413	5.55145	13.44825	11.4217	0.7587831	0.136682	0.564654	0.0994571	5.87755	4.88004	6.44221	4.9795	0.927256	0.98637	0.646874	0.688113	0.736046	0.78297	0.691193	3.92416	0.0664027	0.0799758	0.121165	0.156757
43	-617.0518	-526.8785	-90.17336	1.82122	1.82122	7.94825	7.94825	5.55145	5.55145	1.35861	1.11365	5.75989	5.51492	6.79357	6.54861	5.55145	13.34217	11.4217	0.7587831	0.136682	0.696894	0.696894	5.01396	5.01396	5.71085	5.71085	0.909914	0.909914	0.685435	0.685435	0.758783	0.758783	0.499618	0.499618	0.0862372	0.0862372	0.136682	0.136682
44	-609.5015	-526.9144	-82.58707	1.83356	1.83356	7.9304	7.9304	5.5451	5.5451	1.36181	1.11685	5.75204	5.50708	6.79357	6.54861	5.545098	13.34217	11.4217	0.757915	0.136682	0.702419	0.702419	5.00843	5.00843	5.71085	5.71085	0.908873	0.908873	0.684651	0.684651	0.757915	0.757915	0.495688	0.495688	0.0863324	0.0863324	0.136682	0.136682
45	-612.4521	-531.268	-81.18411	1.78907	1.78907	8.87281	8.87281	5.62807	5.62807	1.47185	1.22689	5.642	5.39704	6.79357	6.54861	5.628066	13.34217	11.4217	0.7692552	0.136682	0.770353	0.770353	4.9405	4.9405	5.71085	5.71085	0.906401	0.906401	0.700926	0.700926	0.769255	0.769255	0.506632	0.506632	0.0789971	0.0789971	0.136682	0.136682
46	-616.6343	-528.1679	-88.46647	1.55217	1.55217	11.5327	11.5327	7.10987	7.10987	1.13863	0.886053	5.82689	5.57431	6.64028	6.3877	7.109872	13.02799	11.4217	0.7692552	0.1081954	0.511297	0.511297	5.19955	5.19955	5.71085	5.71085	0.937876	0.937876	0.685244	0.685244	0.769255	0.769255	0.604235	0.604235	0.0594174	0.0594174	0.108195	0.108195
47	-606.6305	-521.7156	-84.91486	1.55217	1.55217	11.5327	11.5327	7.10987	7.10987	1.28327	0.913427	5.97153	5.60168	6.78492	6.41508	7.109872	13.2	11.4217	0.7692552	0.1081954	0.511297	0.511297	5.19955	5.19955	5.71085	5.71085	0.937876	0.937876	0.685244	0.685244	0.769255	0.769255	0.604235	0.604235	0.0594174	0.0594174	0.108195	0.108195
