Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_observed[1]	extinction_observed[2]	global_extinction	global_net_pop_formation	global_pop_formation	global_spCompletion	global_trans_rate	net_pop_formation_rate[1]	net_pop_formation_rate[2]	net_pop_formation_rate[3]	net_pop_formation_rate[4]	net_pop_formation_rate_observed[1]	net_pop_formation_rate_observed[2]	pop_formation[1]	pop_formation[2]	pop_formation[3]	pop_formation[4]	pop_formation_hidden[1]	pop_formation_hidden[2]	pop_formation_observed[1]	pop_formation_observed[2]	R[1]	R[2]	spCompletion[1]	spCompletion[2]	spCompletion[3]	spCompletion[4]	spCompletion_hidden[1]	spCompletion_hidden[2]	spCompletion_observed[1]	spCompletion_observed[2]	spCompletion_relative[1]	spCompletion_relative[2]	transition_rates[1]	transition_rates[2]
39	-612.4393	-525.485	-86.95439	7.28465	7.28465	10.6797	10.6797	0.405507	0.594493	17.9643	17.9643	35.92864	11.4217	47.35035	1.085688	0.518379	0.244942	0.244942	5.46591	5.46591	5.71085	5.71085	7.52959	7.52959	16.1456	16.1456	0.318037	0.681963	23.6752	23.6752	0.0108344	0.0108344	0.271422	0.271422	0.271422	0.271422	0.5	0.5	0.542844	0.542844	0.5	0.5	0.435884	0.0824953
40	-616.6848	-526.6422	-90.04264	7.49096	7.49096	10.4734	10.4734	0.416991	0.583009	17.9643	17.9643	35.92864	11.4217	47.35035	1.523873	0.518379	0.271227	-0.19397	6.17098	5.17347	6.44221	4.9795	7.76219	7.29699	16.6443	15.6468	0.318037	0.681963	24.4065	22.9438	0.0108344	0.0108344	0.330001	0.431935	0.330001	0.431935	0.5	0.5	0.660003	0.86387	0.433109	0.566891	0.435884	0.0824953
41	-607.7956	-523.4022	-84.39332	7.49096	7.49096	10.4734	10.4734	0.416991	0.583009	17.9643	17.9643	35.92864	11.4217	47.35035	0.9802189	0.518379	0.271227	-0.19397	6.17098	5.17347	6.44221	4.9795	7.76219	7.29699	16.6443	15.6468	0.318037	0.681963	24.4065	22.9438	0.0108344	0.0108344	0.245055	0.245055	0.245055	0.245055	0.5	0.5	0.490109	0.490109	0.5	0.5	0.435884	0.0824953
42	-616.3561	-528.544	-87.81204	7.19754	7.19754	10.7668	10.7668	0.400657	0.599343	17.9643	17.9643	35.92864	11.4217	47.35035	1.561141	0.4654117	0.564654	0.0994571	5.87755	4.88004	6.44221	4.9795	7.76219	7.29699	16.6443	15.6468	0.318037	0.681963	24.4065	22.9438	0.0108344	0.0108344	0.390285	0.390285	0.390285	0.390285	0.5	0.5	0.78057	0.78057	0.5	0.5	0.391346	0.074066
43	-617.0518	-526.8785	-90.17336	7.03895	7.03895	10.9254	10.9254	0.39183	0.60817	17.9643	17.9643	35.92864	11.4217	47.35035	1.561141	0.3593293	0.696894	0.696894	5.01396	5.01396	5.71085	5.71085	7.73585	7.73585	15.9393	15.9393	0.326749	0.673251	23.6752	23.6752	0.0113927	0.0113927	0.348181	0.348181	0.43239	0.43239	0.446059	0.553941	0.78057	0.78057	0.5	0.5	0.302145	0.057184
44	-609.5015	-526.9144	-82.58707	7.00569	7.00569	10.8737	10.8737	0.39183	0.60817	17.8794	17.8794	35.75884	11.4217	47.18055	1.561141	0.3593293	0.702419	0.702419	5.00843	5.00843	5.71085	5.71085	7.7081	7.7081	15.8822	15.8822	0.326749	0.673251	23.5903	23.5903	0.00906953	0.00906953	0.348181	0.348181	0.43239	0.43239	0.446059	0.553941	0.78057	0.78057	0.5	0.5	0.302145	0.057184
45	-612.4521	-531.268	-81.18411	7.45996	7.45996	11.5788	11.5788	0.39183	0.60817	19.0388	19.0388	38.07758	11.4217	49.49928	1.561141	0.3593293	0.770353	0.770353	4.9405	4.9405	5.71085	5.71085	8.23031	8.23031	16.5193	16.5193	0.332543	0.667457	24.7496	24.7496	0.00906953	0.00906953	0.390285	0.390285	0.390285	0.390285	0.5	0.5	0.78057	0.78057	0.5	0.5	0.302145	0.057184
46	-616.6343	-528.1679	-88.46647	7.71902	7.71902	11.3198	11.3198	0.405436	0.594564	19.0388	19.0388	38.07758	11.4217	49.49928	1.235775	0.3705076	0.511297	0.511297	5.19955	5.19955	5.71085	5.71085	8.23031	8.23031	16.5193	16.5193	0.332543	0.667457	24.7496	24.7496	0.0068489	0.0068489	0.308944	0.308944	0.308944	0.308944	0.5	0.5	0.617888	0.617888	0.5	0.5	0.311545	0.0589629
47	-606.6305	-521.7156	-84.91486	7.71902	7.71902	11.3198	11.3198	0.405436	0.594564	19.0388	19.0388	38.07758	11.4217	49.49928	1.235775	0.542519	0.511297	0.511297	5.19955	5.19955	5.71085	5.71085	8.23031	8.23031	16.5193	16.5193	0.332543	0.667457	24.7496	24.7496	0.0068489	0.0068489	0.308944	0.308944	0.308944	0.308944	0.5	0.5	0.617888	0.617888	0.5	0.5	0.456182	0.0863369
48	-613.3728	-523.8311	-89.54165	6.76955	7.04927	10.1336	10.5524	0.400489	0.599511	16.9032	17.6016	34.50481	10.35002	44.85482	1.706431	0.542519	0.688527	0.408806	4.83571	4.41698	5.52423	4.82578	7.45807	7.45807	14.9693	14.9693	0.332543	0.667457	22.4274	22.4274	0.00752271	0.00752271	0.426608	0.426608	0.426608	0.426608	0.5	0.5	0.853215	0.853215	0.5	0.5	0.456182	0.0863369
49	-629.6965	-530.7191	-98.97745	6.90941	6.90941	10.343	10.343	0.400489	0.599511	17.2524	17.2524	34.50481	10.35002	44.85482	1.706431	0.542519	0.548667	0.548667	4.62634	4.62634	5.17501	5.17501	7.45807	7.45807	14.9693	14.9693	0.332543	0.667457	22.4274	22.4274	0.00779315	0.00779315	0.426608	0.426608	0.426608	0.426608	0.5	0.5	0.853215	0.853215	0.5	0.5	0.456182	0.0863369
50	-607.4332	-525.1506	-82.2826	7.13019	7.13019	11.1491	11.1491	0.39007	0.60993	18.2793	18.2793	36.55853	10.96605	47.52458	1.706431	0.4263635	0.43321	0.43321	5.04981	5.04981	5.48302	5.48302	7.5634	7.5634	16.1989	16.1989	0.318294	0.681706	23.7623	23.7623	0.0070279	0.0070279	0.360474	0.382904	0.466997	0.496056	0.435633	0.564367	0.827471	0.87896	0.484913	0.515087	0.368337	0.0580263
51	-611.2007	-527.6123	-83.58831	7.13019	7.13019	11.1491	11.1491	0.39007	0.60993	18.2793	18.2793	36.55853	10.96605	47.52458	1.706431	0.5197509	0.513965	0.513965	4.96906	4.96906	5.48302	5.48302	7.64416	7.64416	16.1181	16.1181	0.321693	0.678307	23.7623	23.7623	0.00767331	0.00767331	0.426608	0.426608	0.426608	0.426608	0.5	0.5	0.853215	0.853215	0.5	0.5	0.449015	0.0707359
52	-608.5479	-524.1378	-84.41012	7.13019	7.13019	11.1491	11.1491	0.39007	0.60993	18.2793	18.2793	36.55853	10.96605	47.52458	1.706431	0.4826797	0.415148	0.612782	4.7607	5.17742	5.17585	5.7902	7.54534	7.74297	15.9098	16.3265	0.321693	0.678307	23.4551	24.0695	0.00767331	0.00767331	0.496792	0.356424	0.496792	0.356424	0.5	0.5	0.993583	0.712847	0.582258	0.417742	0.416989	0.0656907
53	-612.0578	-528.065	-83.99284	7.13019	7.13019	11.1491	11.1491	0.39007	0.60993	18.2793	18.2793	36.55853	10.96605	47.52458	1.706431	0.3082908	0.513965	0.513965	4.96906	4.96906	5.48302	5.48302	7.64416	7.64416	16.1181	16.1181	0.321693	0.678307	23.7623	23.7623	0.00914211	0.00914211	0.496792	0.356424	0.496792	0.356424	0.5	0.5	0.993583	0.712847	0.582258	0.417742	0.266334	0.0419571
